,year,state,district,winner,party,winning_ratio
0,1976,IN,10,Philip R. Sharp,democrat,0.5983786804840976
0,1976,IN,11,"Andrew Jacobs, Jr.",democrat,0.6076581866991044
0,1976,KS,1,Keith G. Sebelius,republican,0.2693381937670073
0,1976,KS,2,Martha Keys,democrat,0.5166063488178284
0,1976,KS,3,"Larry Winn, Jr.",republican,0.29660534584035336
0,1976,KS,4,Dan Glickman,democrat,0.5091436356338928
0,1976,KS,5,Joe Skubitz,republican,0.3735571398352324
0,1976,KY,1,"Carroll Hubbard, Jr.",democrat,0.8200448353164339
0,1976,KY,2,William H. Natcher,democrat,0.6035625897522076
0,1976,KY,3,Romano L. Mazzoli,democrat,0.5811356170811826
0,1976,KY,4,Gene Snyder,republican,0.44130726295400624
0,1976,KY,5,Tim Lee Carter,republican,0.3289850802239306
0,1976,KY,6,John B. Breckinridge,democrat,1.0
0,1976,KY,7,Carl D. Perkins,democrat,0.732276521404751
0,1976,LA,1,Richard A. Tonry,democrat,0.5210130903989656
0,1976,LA,2,Lindy (Mrs. Hale) Boggs,democrat,1.0
0,1976,LA,3,David C. Treen,republican,0.2668762553488778
0,1976,LA,4,"Joe D. Waggonner, Jr.",democrat,1.0
0,1976,LA,5,Jerry Huckaby,democrat,0.5254975827211653
0,1976,LA,6,W. Henson Moore,republican,0.34780903576657607
0,1976,LA,7,John B. Breaux,democrat,0.8334826825972548
0,1976,LA,8,Gillis W. Long,democrat,1.0
0,1976,MA,1,Silvio O. Conte,republican,0.36222913085580055
0,1976,MA,2,Edward P. Boland,democrat,0.7638076728551864
0,1976,MA,3,Joseph D. Early,democrat,1.0
0,1976,MA,4,Robert F. Drinan,democrat,0.5207453652957156
0,1976,MA,5,Paul E. Tsongas,democrat,0.6731154289554871
0,1976,MA,6,Michael Harrington,democrat,0.5701327755291558
0,1976,MA,7,Edward J. Markey,democrat,0.8139304881293645
0,1976,MA,8,"Thomas P. O'Neil, Jr.",democrat,0.7992591614235628
0,1976,MA,9,Joe Moakley,democrat,0.7504694903501675
0,1976,MA,10,Margaret M. Heckler,republican,0.0
0,1976,MA,11,James A. Burke,democrat,1.0
0,1976,MA,12,Gerry E. Studds,democrat,1.0
0,1976,MD,1,Robert E. Bauman,republican,0.45932969190495365
0,1976,MD,2,Clarence D. Long,democrat,0.797895147144806
0,1976,MD,3,Barbara A. Mikulski,democrat,0.7459448909459714
0,1976,MD,4,Marjorie S. Holt,republican,0.42333028306860676
0,1976,MD,5,Gladys Noon Spellman,democrat,0.5770203049824676
0,1976,MD,6,Goodloe E. Byron,democrat,0.7083696453710532
0,1976,MD,7,Parren J. Mitchell,democrat,1.0
0,1976,MD,8,"Newton I. Steers, Jr.",republican,0.47417267988866674
0,1976,ME,1,David F. Emery,republican,0.42623448515148166
0,1976,ME,2,William S. Cohen,republican,0.2031142617749786
0,1976,MI,1,"John Conyers, Jr.",democrat,0.9339171503020254
0,1976,MI,2,Carl D. Pursell,republican,0.4990968758204253
0,1976,MI,3,Garry Brown,republican,0.48979392468584826
0,1976,MI,4,Dave Stockman,republican,0.39234296142754144
0,1976,MI,5,Harold S. Sawyer,republican,0.4642748897644724
0,1976,MI,6,Bob Carr,democrat,0.5314785986521372
0,1976,MI,7,Dale E. Kildee,democrat,0.7118428514960387
0,1976,MI,8,Bob Traxler,democrat,0.5938366136424912
0,1976,MI,9,Guy A. Vander Jagt,republican,0.2958488718664958
0,1976,MI,10,Elford A. Cederberg,republican,0.4311327896658458
0,1976,MI,11,Philip E. Ruppe,republican,0.450170215915188
0,1976,MI,12,David E. Bonior,democrat,0.5263377021333289
0,1976,MI,13,"Charles C. Diggs, Jr.",democrat,0.902564158070766
0,1976,MI,14,Lucien N. Nedzi,democrat,0.6698089695821755
0,1976,MI,15,William D. Ford,democrat,0.7496517349351396
0,1976,MI,16,John D. Dingell,democrat,0.7698468935847147
0,1976,MI,17,William M. Brodhead,democrat,0.6508757548117444
0,1976,MI,18,James J. Blanchard,democrat,0.6686998935407478
0,1976,MI,19,William S. Broomfield,republican,0.3280223926255251
0,1976,MN,1,Albert H. Quic,republican,0.30868810831836435
0,1976,MN,2,Tom Hagedorn,republican,0.3965989992270452
0,1976,MN,3,Bill Frenzel,republican,0.32590689279235674
0,1976,MN,4,Bruce F. Vento,democrat,0.690405026703065
0,1976,MN,5,Donald M. Fraser,democrat,0.7313747175582214
0,1976,MN,6,Richard Nolan,democrat,0.597901162507904
0,1976,MN,7,Bob Bergland,democrat,0.7301615264268307
0,1976,MN,8,James L. Oberstar,democrat,1.0
0,1976,MO,1,William (Bill) Clay,democrat,0.6555592263334935
0,1976,MO,2,Robert A. Young,democrat,0.5108916150362444
0,1976,MO,3,Richard A. Gephardt,democrat,0.6369043666865857
0,1976,MO,4,Ike Skelton,democrat,0.5586577375216805
0,1976,MO,5,Richard Bolling,democrat,0.7076187069032036
0,1976,MO,6,E. Thomas Coleman,republican,0.40911177976202107
0,1976,MO,7,Gene Taylor,democrat,1.0
0,1976,MO,8,Richard H. Ichord,democrat,0.687487341936489
0,1976,MO,9,Harold L. Volkmer,democrat,0.5592843762927568
0,1976,MO,10,Bill D. Burlison,democrat,0.7207209672740409
0,1976,MS,1,Jamie L. Whitten,democrat,1.0
0,1976,MS,2,David R. Bowen,democrat,0.6380328481727885
0,1976,MS,3,G. V. (Sonny) Montgomery,democrat,0.9394435590099629
0,1976,MS,4,Thad Cochran,republican,0.22127682510837843
0,1976,MS,5,Trent Lott,republican,0.3178799305836454
0,1976,MT,1,Max Baucus,democrat,0.6644674104801411
0,1976,MT,2,Ron Marlence,republican,0.4504411543811757
0,1976,NC,1,Walter B. Jones,republican,0.0
0,1976,NC,2,L. H. Fountain,democrat,1.0
0,1976,NC,3,Charles Whitley,democrat,0.6874922071213552
0,1976,NC,4,Ike Andrews,democrat,0.6060217514235742
0,1976,NC,5,Stephen L. (Steve) Neal,democrat,0.543041370287712
0,1976,NC,6,Richardson Preyer,democrat,1.0
0,1976,NC,7,Charles G. Rose,democrat,0.8130184469161458
0,1976,NC,8,W. G. (Bill) Hefner,democrat,0.6691556034773233
0,1976,NC,9,James G. Martin,republican,0.46261688345609364
0,1976,NC,10,James T. (Jim) Broyhill,republican,0.402161942156675
0,1976,NC,11,Lamar Gudger,democrat,0.513977952893888
0,1976,ND,0,Mark Andrews,republican,0.3654747424469208
0,1976,NE,1,Charles Thone,republican,0.2681504267016883
0,1976,NE,2,John J. Cavanaugh,democrat,0.5460934610168098
0,1976,NE,3,Virginia Smith,republican,0.25287014454821244
0,1976,NH,1,Norman E. D'Amours,democrat,0.691538426998005
0,1976,NH,2,James C. Cleveland,republican,0.39466596282010524
0,1976,NJ,1,James J. Florio,democrat,0.7079440584080793
0,1976,NJ,2,William J. Hughes,democrat,0.6172083180939443
0,1976,NJ,3,James J. Howard,democrat,0.6261213798264877
0,1976,NJ,4,"Frank Thompson, Jr.",democrat,0.6740108288213245
0,1976,NJ,5,Millicent II. Fenwick,republican,0.31915850218131336
0,1976,NJ,6,Edwin B. Forsythe,republican,0.4031463741805823
0,1976,NJ,7,Andrew Maguire,democrat,0.5654515599343185
0,1976,NJ,8,Robert A. Roe,democrat,0.708526455577544
0,1976,NJ,9,Harold C. Hollenbeck,republican,0.45503785938522245
0,1976,NJ,10,"Peter W. Rodino, Jr.",democrat,0.8374456697097956
0,1976,NJ,11,Joseph G. Minish,democrat,0.6847677831262637
0,1976,NJ,12,Matthew J. Rinaldo,republican,0.26422685617902686
0,1976,NJ,13,Helen S. Meyner,democrat,0.5127616988326734
0,1976,NJ,14,Joseph A. Le Fante,democrat,0.5245711254328174
0,1976,NJ,15,Edward J. Patten,democrat,0.6608488892485233
0,1976,NM,1,"Manuel Lujan, Jr.",republican,0.27541702505047083
0,1976,NM,2,Harold Runnels,democrat,0.7032852573223901
0,1976,NV,0,Jim Santini,democrat,0.8645632158095666
0,1976,NY,1,Otis G. Pike,democrat,0.677874118568817
0,1976,NY,2,Thomas J. Downey,democrat,1.0
0,1976,NY,3,"Jerome A. Ambro, Jr.",democrat,1.0
0,1976,NY,4,Norman F. Lent,conservative,0.47908144344601344
0,1976,NY,5,John W. Wydler,conservative,0.47188850997556453
0,1976,NY,6,Lester L. Wolf,democrat,0.6327959694678703
0,1976,NY,7,Joseph P. Addabbo,democrat,1.0
0,1976,NY,8,Benjamin S. Rosenthal,democrat,0.7662240117697162
0,1976,NY,9,James J. Delaney,conservative,0.0
0,1976,NY,10,Mario Biaggi,republican,0.0
0,1976,NY,11,James H. Scheuer,democrat,0.8153078202995009
0,1976,NY,12,Shirley Chisholm,democrat,0.8855745930993073
0,1976,NY,13,Stephen J. Solarz,democrat,1.0
0,1976,NY,14,Frederick W. Richmond,democrat,1.0
0,1976,NY,15,Leo C. Zeferetti,democrat,0.6382338075727758
0,1976,NY,16,Elizabeth Holtzman,democrat,1.0
0,1976,NY,17,John M. Murphy,democrat,0.7626732842717782
0,1976,NY,18,Edward I. Koch,democrat,0.7687274877276511
0,1976,NY,19,Charles B. Rangel,democrat,1.0
0,1976,NY,20,Theodore S. Weiss,democrat,0.8539150235470683
0,1976,NY,21,Herman Badillo,democrat,1.0
0,1976,NY,22,Jonathan B. Bingham,democrat,0.8858590312887776
0,1976,NY,23,Bruce F. Caputo,conservative,0.5057318031756013
0,1976,NY,24,Richard L. Ottinger,democrat,1.0
0,1976,NY,25,"Hamilton Fish, Jr.",conservative,0.3213264596465276
0,1976,NY,26,Benjamin A. Gilman,republican,0.3351295968099247
0,1976,NY,27,Matthew F. McHugh,democrat,1.0
0,1976,NY,28,Samuel S. Stratton,democrat,1.0
0,1976,NY,29,Joseph A. Martino,republican,0.5106194106696291
0,1976,NY,30,Robert C. McEwen,conservative,0.4590737651410749
0,1976,NY,31,Donald J. Mitchell,republican,0.3494839320322711
0,1976,NY,32,James M. Hanley,democrat,0.5541537351925515
0,1976,NY,33,William F. Walsh,republican,0.2807468192945557
0,1976,NY,34,Frank J. Horton,republican,0.31516722308495615
0,1976,NY,35,"Barber B. Conable, Jr.",republican,0.0
0,1976,NY,36,John J. LaFalce,democrat,1.0
0,1976,NY,37,Henry J. Nowak,democrat,0.8016165817011001
0,1976,NY,38,Jack F. Kemp,conservative,0.2339718164685196
0,1976,NY,39,Stanley N. Lundine,democrat,1.0
0,1976,OH,1,"Willis D. Gradison, Jr.",republican,0.34172942248656946
0,1976,OH,2,Thomas A. Luken,democrat,0.5137470358955237
0,1976,OH,3,"Charles W. Whalen, Jr.",republican,0.25138781689722733
0,1976,OH,4,Tennyson Guyer,republican,0.29940389807871326
0,1976,OH,5,Delbert L. Latta,republican,0.32559093805003947
0,1976,OH,6,William H. Harsha,republican,0.3851525575572414
0,1976,OH,7,Clarence J. Brown,republican,0.3514847671746415
0,1976,OH,8,Thomas N. Kindness,republican,0.29531994478336376
0,1976,OH,9,"Thomas Ludlow, Ashley",democrat,0.5518947132317727
0,1976,OH,10,Clarence E. Miller,republican,0.3123620905983645
0,1976,OH,11,J. William Stanton,republican,0.2825797556221177
0,1976,OH,12,Samuel L. Devine,republican,0.49566822422136125
0,1976,OH,13,Donald J. Pease,democrat,0.6844112002736099
0,1976,OH,14,John F. Seiberling,democrat,0.7529414677320525
0,1976,OH,15,Chalmers P. Wylie,republican,0.3449880803723465
0,1976,OH,16,Ralph S. Regula,republican,0.3235839460606237
0,1976,OH,17,John M. Ashbrook,republican,0.43203505705152
0,1976,OH,18,Douglas Applegate,democrat,0.7187891979635505
0,1976,OH,19,Charles J. Carney,democrat,0.5119627523393071
0,1976,OH,20,Mary Rose Oakar,democrat,1.0
0,1976,OH,21,Louis Stokes,democrat,0.8808284692870219
0,1976,OH,22,Charles A. Vanik,democrat,0.750516752110801
0,1976,OH,23,Ronald M. Mottl,democrat,0.732010315057742
0,1976,OK,1,James R. Jones,democrat,0.5447093929926236
0,1976,OK,2,Theodore M. (Ted) Risenhoover,democrat,0.5396878936245343
0,1976,OK,3,Wes Watkins,democrat,0.8266039354546101
0,1976,OK,4,Tom Steed,democrat,0.7731000365217968
0,1976,OK,5,Mickey Edwards,republican,0.4872916435793303
0,1976,OK,6,Glenn English,democrat,0.710763966068927
0,1976,OR,1,Les AuCoin,democrat,0.5865658524759076
0,1976,OR,2,Al Ullman,democrat,0.7199057920446615
0,1976,OR,3,Robert B. Duncan,democrat,1.0
0,1976,OR,4,James Weaver,democrat,0.5876411826233818
